variable,group,psi
PSI_cultivo_grupo,BALEARES,5.690140733686947
PSI_cultivo_grupo,CANTABRIA,3.0954164021143753
PSI_cultivo_grupo,TARRAGONA,2.7281116419672315
PSI_cultivo_grupo,PONTEVEDRA,2.6190869720214063
PSI_cultivo_grupo,BIZKAIA,2.490944121951798
PSI_cultivo_grupo,TERUEL,2.3008152247819478
PSI_cultivo_grupo,LA RIOJA,2.2380631544079135
PSI_cultivo_grupo,ASTURIAS,2.2372956625059106
PSI_cultivo_grupo,OURENSE,2.237091083881397
PSI_cultivo_grupo,GIPUZKOA,2.2067386246753355
PSI_cultivo_grupo,A CORUÑA,2.1732407329585817
PSI_cultivo_grupo,GIRONA,2.0961159600238712
PSI_cultivo_grupo,BADAJOZ,1.8702179881375869
PSI_cultivo_grupo,CIUDAD REAL,1.7511402671486649
PSI_cultivo_grupo,VALLADOLID,1.685862937305699
PSI_cultivo_grupo,LUGO,1.6012118058189344
PSI_cultivo_grupo,BURGOS,1.4716338193488627
PSI_cultivo_grupo,CORDOBA,1.4543364350763777
PSI_cultivo_grupo,ARABA/ALAVA,1.4152412067145075
PSI_cultivo_grupo,SEGOVIA,1.3386085987848237
PSI_cultivo_grupo,PALENCIA,1.3139601772485845
PSI_cultivo_grupo,ZAMORA,1.3121303706953402
PSI_cultivo_grupo,LLEIDA,1.303997484088224
PSI_cultivo_grupo,CADIZ,1.3007691566156954
PSI_cultivo_grupo,ALBACETE,1.2595979608233219
PSI_cultivo_grupo,NAVARRA,1.226687962211503
PSI_cultivo_grupo,HUESCA,1.2105953698446816
PSI_cultivo_grupo,MURCIA,1.1984955779776405
PSI_cultivo_grupo,ILLES BALEARS,1.1847846964993356
PSI_cultivo_grupo,MALAGA,1.162198156572205
PSI_cultivo_grupo,CUENCA,1.151259176388382
PSI_cultivo_grupo,SEVILLA,1.128774068414721
PSI_cultivo_grupo,HUELVA,1.1200221220809135
PSI_cultivo_grupo,LEON,1.0724755614080683
PSI_cultivo_grupo,CASTELLON,1.038489926052682
PSI_cultivo_grupo,SORIA,1.010085915721937
PSI_cultivo_grupo,SALAMANCA,1.005140354579994
PSI_cultivo_grupo,JAEN,0.9746746643345426
PSI_cultivo_grupo,TOLEDO,0.9728346586664737
PSI_cultivo_grupo,ALMERIA,0.9379429210308639
PSI_cultivo_grupo,AVILA,0.8901000471787217
PSI_cultivo_grupo,VALENCIA,0.8496747586668459
PSI_cultivo_grupo,GUADALAJARA,0.8475152057847165
PSI_cultivo_grupo,ZARAGOZA,0.8143722500384085
PSI_cultivo_grupo,CACERES,0.8104783891974595
PSI_cultivo_grupo,BARCELONA,0.773829536569583
PSI_cultivo_grupo,ALICANTE,0.7047589082515168
PSI_cultivo_grupo,GRANADA,0.5767052030985464
PSI_cultivo_grupo,MADRID,0.5118244766186071
n_dias_lluvia,BALEARES,11.991219739277398
n_dias_lluvia,CORDOBA,11.82537622662538
n_dias_lluvia,CADIZ,11.818167107250172
n_dias_lluvia,SEVILLA,4.875433415714605
n_dias_lluvia,CACERES,4.821514034585962
n_dias_lluvia,LA RIOJA,4.229206717001226
n_dias_lluvia,HUELVA,3.987244236502539
n_dias_lluvia,AVILA,3.5260856373885687
