station_provincia,cultivo_grupo,rate
A CORUÑA,Forest-Coníferas,0.4755244755244755
A CORUÑA,Matorral,0.24475524475524477
A CORUÑA,Otros,0.1048951048951049
A CORUÑA,Pastizal,0.06293706293706294
A CORUÑA,Forest-Frondosas,0.04195804195804196
A CORUÑA,Forest-Eucalipto,0.03496503496503497
A CORUÑA,Agua,0.013986013986013986
A CORUÑA,Desnudo,0.006993006993006993
A CORUÑA,Frutal,0.006993006993006993
A CORUÑA,Mixto,0.006993006993006993
ALBACETE,Forest-Coníferas,0.5671641791044776
ALBACETE,Cereal de invierno,0.11940298507462686
ALBACETE,Forest-Frondosas,0.1044776119402985
ALBACETE,Pastizal,0.07462686567164178
ALBACETE,Viñedo,0.05970149253731343
ALBACETE,Otros,0.04477611940298507
ALBACETE,Matorral,0.014925373134328358
ALBACETE,Olivar,0.014925373134328358
ALICANTE,Forest-Coníferas,0.37362637362637363
ALICANTE,Matorral,0.17582417582417584
ALICANTE,Pastizal,0.08791208791208792
ALICANTE,Otros,0.07692307692307693
ALICANTE,Forest-Frondosas,0.06593406593406594
ALICANTE,Cereal de invierno,0.054945054945054944
ALICANTE,Agua,0.03296703296703297
ALICANTE,Cítricos,0.03296703296703297
ALICANTE,Viñedo,0.03296703296703297
ALICANTE,Desnudo,0.01098901098901099
ALICANTE,Frutal,0.01098901098901099
ALICANTE,Frutos secos,0.01098901098901099
ALICANTE,Girasol,0.01098901098901099
ALICANTE,Hortaliza,0.01098901098901099
ALICANTE,Mixto,0.01098901098901099
ALMERIA,Otros,0.23857868020304568
ALMERIA,Matorral,0.19796954314720813
ALMERIA,Forest-Coníferas,0.18274111675126903
ALMERIA,Pastizal,0.14213197969543148
ALMERIA,Cereal de invierno,0.10152284263959391
ALMERIA,Agua,0.030456852791878174
ALMERIA,Forest-Frondosas,0.02030456852791878
ALMERIA,Desnudo,0.015228426395939087
ALMERIA,Frutal,0.015228426395939087
ALMERIA,Frutos secos,0.015228426395939087
ALMERIA,Hortaliza,0.01015228426395939
ALMERIA,Olivar,0.01015228426395939
ALMERIA,Viñedo,0.01015228426395939
ALMERIA,Forest-Otros,0.005076142131979695
ALMERIA,Mixto,0.005076142131979695
ARABA/ALAVA,Forest-Frondosas,0.4803921568627451
ARABA/ALAVA,Forest-Coníferas,0.27450980392156865
ARABA/ALAVA,Matorral,0.08823529411764706
ARABA/ALAVA,Cereal de invierno,0.058823529411764705
ARABA/ALAVA,Pastizal,0.058823529411764705
ARABA/ALAVA,Viñedo,0.0196078431372549
ARABA/ALAVA,Desnudo,0.00980392156862745
ARABA/ALAVA,Otros,0.00980392156862745
ASTURIAS,Matorral,0.3181818181818182
ASTURIAS,Forest-Frondosas,0.19545454545454546
ASTURIAS,Pastizal,0.19545454545454546
ASTURIAS,Forest-Coníferas,0.15454545454545454
ASTURIAS,Frutal,0.06363636363636363
ASTURIAS,Forest-Otros,0.02727272727272727
ASTURIAS,Forest-Eucalipto,0.013636363636363636
ASTURIAS,Mixto,0.013636363636363636
ASTURIAS,Otros,0.013636363636363636
ASTURIAS,Agua,0.004545454545454545
AVILA,Forest-Coníferas,0.5133689839572193
AVILA,Forest-Frondosas,0.1497326203208556
AVILA,Pastizal,0.13903743315508021
AVILA,Cereal de invierno,0.0748663101604278
AVILA,Matorral,0.058823529411764705
AVILA,Otros,0.0213903743315508
AVILA,Frutal,0.016042780748663103
AVILA,Herbáceos industriales,0.0106951871657754
AVILA,Mixto,0.0106951871657754
AVILA,Agua,0.0053475935828877
BADAJOZ,Cereal de invierno,0.29411764705882354
BADAJOZ,Forest-Frondosas,0.21323529411764705
BADAJOZ,Pastizal,0.13970588235294118
BADAJOZ,Olivar,0.10294117647058823
BADAJOZ,Otros,0.08823529411764706
BADAJOZ,Viñedo,0.051470588235294115
BADAJOZ,Forest-Coníferas,0.03676470588235294
BADAJOZ,Forest-Otros,0.03676470588235294
BADAJOZ,Forest-Eucalipto,0.014705882352941176
BADAJOZ,Matorral,0.014705882352941176
BADAJOZ,Agua,0.007352941176470588
BALEARES,Forest-Coníferas,0.5
BALEARES,Forest-Frondosas,0.5
BARCELONA,Forest-Coníferas,0.5526315789473685
BARCELONA,Forest-Frondosas,0.22631578947368422
BARCELONA,Matorral,0.05789473684210526
BARCELONA,Otros,0.05263157894736842
BARCELONA,Pastizal,0.031578947368421054
BARCELONA,Frutal,0.021052631578947368
BARCELONA,Agua,0.015789473684210527
BARCELONA,Cereal de invierno,0.010526315789473684
BARCELONA,Frutos secos,0.010526315789473684
BARCELONA,Forest-Eucalipto,0.005263157894736842
BARCELONA,Forest-Otros,0.005263157894736842
BARCELONA,Mixto,0.005263157894736842
BARCELONA,Viñedo,0.005263157894736842
BIZKAIA,Forest-Coníferas,0.782608695652174
BIZKAIA,Forest-Frondosas,0.06521739130434782
BIZKAIA,Pastizal,0.05434782608695652
BIZKAIA,Viñedo,0.05434782608695652
BIZKAIA,Matorral,0.021739130434782608
BIZKAIA,Cereal de invierno,0.010869565217391304
BIZKAIA,Frutal,0.010869565217391304
BURGOS,Forest-Frondosas,0.3333333333333333
BURGOS,Forest-Coníferas,0.31746031746031744
BURGOS,Otros,0.1984126984126984
BURGOS,Matorral,0.05555555555555555
BURGOS,Pastizal,0.047619047619047616
BURGOS,Mixto,0.031746031746031744
BURGOS,Cereal de invierno,0.015873015873015872
CACERES,Forest-Frondosas,0.2681818181818182
CACERES,Frutal,0.17272727272727273
CACERES,Forest-Coníferas,0.12727272727272726
CACERES,Cereal de invierno,0.10909090909090909
CACERES,Pastizal,0.10909090909090909
CACERES,Matorral,0.07727272727272727
CACERES,Otros,0.03636363636363636
CACERES,Olivar,0.031818181818181815
CACERES,Herbáceos industriales,0.022727272727272728
CACERES,Forest-Eucalipto,0.01818181818181818
CACERES,Mixto,0.00909090909090909
CACERES,Cítricos,0.004545454545454545
CACERES,Forest-Otros,0.004545454545454545
CACERES,Hortaliza,0.004545454545454545
CACERES,Viñedo,0.004545454545454545
CADIZ,Cereal de invierno,0.2682926829268293
CADIZ,Forest-Coníferas,0.18292682926829268
CADIZ,Forest-Frondosas,0.14634146341463414
CADIZ,Pastizal,0.0975609756097561
CADIZ,Matorral,0.08536585365853659
CADIZ,Forest-Otros,0.06097560975609756
CADIZ,Olivar,0.04878048780487805
CADIZ,Desnudo,0.024390243902439025
CADIZ,Maíz,0.024390243902439025
CADIZ,Viñedo,0.024390243902439025
CADIZ,Forest-Eucalipto,0.012195121951219513
CADIZ,Herbáceos industriales,0.012195121951219513
CADIZ,Otros,0.012195121951219513
CANTABRIA,Matorral,0.35119047619047616
CANTABRIA,Forest-Frondosas,0.26785714285714285
CANTABRIA,Pastizal,0.15476190476190477
CANTABRIA,Forest-Coníferas,0.13690476190476192
CANTABRIA,Forest-Otros,0.047619047619047616
CANTABRIA,Forest-Eucalipto,0.017857142857142856
CANTABRIA,Frutos secos,0.011904761904761904
CANTABRIA,Frutal,0.005952380952380952
CANTABRIA,Viñedo,0.005952380952380952
CASTELLON,Forest-Coníferas,0.5625
CASTELLON,Forest-Frondosas,0.13541666666666666
CASTELLON,Matorral,0.11458333333333333
CASTELLON,Pastizal,0.052083333333333336
CASTELLON,Cereal de invierno,0.041666666666666664
CASTELLON,Hortaliza,0.020833333333333332
CASTELLON,Mixto,0.020833333333333332
CASTELLON,Otros,0.020833333333333332
CASTELLON,Cítricos,0.010416666666666666
CASTELLON,Frutos secos,0.010416666666666666
CASTELLON,Olivar,0.010416666666666666
CIUDAD REAL,Cereal de invierno,0.32967032967032966
CIUDAD REAL,Forest-Frondosas,0.23076923076923078
CIUDAD REAL,Viñedo,0.15384615384615385
CIUDAD REAL,Forest-Coníferas,0.07692307692307693
CIUDAD REAL,Matorral,0.054945054945054944
CIUDAD REAL,Olivar,0.04395604395604396
CIUDAD REAL,Pastizal,0.04395604395604396
CIUDAD REAL,Otros,0.03296703296703297
CIUDAD REAL,Agua,0.01098901098901099
CIUDAD REAL,Forest-Eucalipto,0.01098901098901099
CIUDAD REAL,Industrial,0.01098901098901099
CORDOBA,Forest-Frondosas,0.21495327102803738
CORDOBA,Cereal de invierno,0.16822429906542055
CORDOBA,Olivar,0.1308411214953271
CORDOBA,Otros,0.11214953271028037
CORDOBA,Forest-Coníferas,0.102803738317757
CORDOBA,Forest-Otros,0.07476635514018691
CORDOBA,Pastizal,0.06542056074766354
CORDOBA,Matorral,0.056074766355140186
CORDOBA,Viñedo,0.056074766355140186
CORDOBA,Cítricos,0.009345794392523364
CORDOBA,Herbáceos industriales,0.009345794392523364
CUENCA,Forest-Coníferas,0.6187845303867403
CUENCA,Forest-Frondosas,0.09944751381215469
CUENCA,Mixto,0.0718232044198895
CUENCA,Matorral,0.055248618784530384
CUENCA,Pastizal,0.049723756906077346
CUENCA,Cereal de invierno,0.04419889502762431
CUENCA,Olivar,0.027624309392265192
CUENCA,Agua,0.011049723756906077
CUENCA,Otros,0.011049723756906077
CUENCA,Hortaliza,0.0055248618784530384
CUENCA,Viñedo,0.0055248618784530384
GIPUZKOA,Forest-Coníferas,0.5346534653465347
GIPUZKOA,Forest-Frondosas,0.2376237623762376
GIPUZKOA,Pastizal,0.10891089108910891
GIPUZKOA,Hortaliza,0.0297029702970297
GIPUZKOA,Otros,0.0297029702970297
GIPUZKOA,Frutal,0.019801980198019802
GIPUZKOA,Mixto,0.019801980198019802
GIPUZKOA,Forest-Otros,0.009900990099009901
GIPUZKOA,Matorral,0.009900990099009901
GIRONA,Forest-Coníferas,0.33093525179856115
