/* DATA DESCRIPTION:
Citation:	Llorente, Mireia; Rovira, Pere; Merino, Agustín; Rubio, Agustín; Turrión, MaBelén; Badía, David; Romanya, Joan; González, Jordi Cortina José Antonio (2018): Physical characteristics of soil profiles from the CARBOSOL Database of Spain [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.884513, 
	In: Llorente, M et al. (2018): The CARBOSOL Database: a georeferenced soil profile analytical database for Spain [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.884517
Further details:	Llorente, Mireia; Rovira, Pere; Merino, Agustín; Rubio, Agustín; Turrión, MaBelén; Badía, David; Romanya, Joan; González, Jordi Cortina José Antonio (2018): Further information to the CARBOSOL Database of Spain [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.884515
Coverage:	MEDIAN LATITUDE: 40.616043 * MEDIAN LONGITUDE: -3.227614 * SOUTH-BOUND LATITUDE: 36.032343 * WEST-BOUND LONGITUDE: -9.104709 * NORTH-BOUND LATITUDE: 43.733352 * EAST-BOUND LONGITUDE: 4.060389
Event(s):	CARBOSOL_DB (CARBOSOL Database Spain) * LATITUDE: 40.308250 * LONGITUDE: -3.732393 * METHOD/DEVICE: Soil profile (SOIL)
Parameter(s):	Sample ID (Sample ID) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Unique identification number of profile
	Sample ID (Sample ID) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Unique identification number of reference
	Date (Date) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Province (Province) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Location (Location) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	UTM Easting, Universal Transverse Mercator [m] (UTM east) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	UTM Northing, Universal Transverse Mercator [m] (UTM north) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	LATITUDE (Latitude) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	LONGITUDE (Longitude) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Number (No) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Number of horizons in the profile
	Number (No) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Number of horizons in the profile with organic matter measurement
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Land cover classes (LCC) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Code (Code) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Land cover class code
	Code (Code) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: CORINE Land Cover Code Level 1
	Code (Code) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: CORINE Land Cover Code Level 2-3
	Description (Description) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Vegetation details provided by original reference
	ALTITUDE [m] (Altitude) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Orientation (Orientation) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Percentage [%] (Perc) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Of Slope
	Parent material (Parent material) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Parent material by original reference
	Parent material (Parent material) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Parent material consistency
	Parent material (Parent material) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Parent material silica content
	Classification (Classification) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Soil classification into WRB system
	Classification (Classification) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Soil classification into USDA system
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	115143 data points
*/
Sample ID (Unique identification number ...)	Sample ID (Unique identification number ...)	Date	Province	Location	UTM east [m]	UTM north [m]	Latitude	Longitude	No (Number of horizons in the pro...)	No (Number of horizons in the pro...)	Depth sed [m]	LCC	Code (Land cover class code)	Code (CORINE Land Cover Code Level 1)	Code (CORINE Land Cover Code Level 2-3)	Description (Vegetation details provided b...)	Altitude [m]	Orientation	Perc [%] (Of Slope)	Parent material (Parent material by original r...)	Parent material (Parent material consistency)	Parent material (Parent material silica content)	Classification (Soil classification into WRB ...)	Classification (Soil classification into USDA...)
1	29	2000	VALLADOLID	TORDESILLAS	332100	4595100	41.4899	-5.0113	3	3	0.60	Coniferous forests	9	3	312	Pinus pinea	670	Flat	0	SILICEOUS SAND	Inconsistent			
2	29	2000	LA RIOJA	NAJERA	521700	4695800	42.4142	-2.7363	3	3	0.82	Coniferous forests	9	3	312	Pinus halepensis	625	North-West	40	MARL		Calcareous material		
3	29	2000	SEGOVIA	CUELLAR	394000	4578000	41.3465	-4.2670	4	4	1.00	Coniferous forests	9	3	312	Pinus pinaster	805	Flat	0	SILICEOUS SAND	Inconsistent	Silicic material		
4	29	2000	BADAJOZ	LA PARRA	184495	4268287	38.5071	-6.6181	3	3	0.85	Quercus forests	7	3	311	Quercus ilex	573	West	2	QUARTZY SCHIST		Silicic material		
5	29	2000	ZARAGOZA	ANON	604300	4626400	41.7826	-1.7449	4	4	1.00	Quercus forests	7	3	311	Quercus pyrenaica	910	West	12	QUARTZ STONE AND SCHIST		Silicic material		
6	29	2000	SORIA	MONTEJO DE TIERMES	484900	4577700	41.3507	-3.1805	4	4	1.00	Quercus forests	7	3	311	Quercus pyrenaica	1200	North-West	4	QUARTZ STONE		Silicic material		
7	29	2000	VALLADOLID	BERCERUELO	330584	4605396	41.5823	-5.0324	4	4	1.00	Coniferous forests	9	3	312	Pinus halepensis	780	Flat	0	MARL		Calcareous material		
8	29	2000	CUENCA	CUENCA	578359	4440725	40.1132	-2.0805	4	4	1.00	Coniferous forests	9	3	312	Pinus nigra	1100	Flat	0	LIMESTONE		Calcareous material		
9	29	2000	CANTABRIA	LOS TOJOS	403060	4778060	43.1491	-4.1922	4	4	1.00	Quercus forests	7	3	311	Quercus robur	670	North-West	40	QUARTZY SCHIST		Silicic material		
10	29	2000	LEON	RIELLO	260600	4749700	42.8624	-5.9305	3	3	1.25	Quercus forests	7	3	311	Quercus pyrenaica	1320	South-West	20	QUARTZ STONE AND SCHIST		Silicic material		
11	29	2000	AVILA	EL ARENAL	323600	4457800	40.2521	-5.0741	4	4	1.00	Coniferous forests	9	3	312	Pinus pinaster	1035	North-West	45	GRANITE AND GNEISS	Consistent	Silicic material		
12	29	2000	GUADALAJARA	LUZON	562400	4540400	41.0124	-2.2579	4	4	1.00	Coniferous forests	9	3	312	Pinus pinaster	1177	South-East	25	QUARTZ STONE		Silicic material		
13	29	2000	SEGOVIA	VILLAVERDE DE ISCAR	370600	4573500	41.3026	-4.5457	4	4	1.00	Coniferous forests	9	3	312	Pinus pinaster	770	Flat	0	SILICEOUS SAND	Inconsistent	Silicic material		
14	29	2000	NAVARRA	GARRALDA	640200	4755900	42.9428	-1.2815	4	4	1.00	Quercus forests	7	3	311	Quercus petrea	825	North-East	6	CALC-SILICATE ROCK				
15	29	2000	AVILA	CUEVAS DEL VALLE	329600	4463300	40.3028	-5.0051	3	3	1.25	Coniferous forests	9	3	312	Pinus pinaster	1000	North-West	30	GRANITE	Consistent	Silicic material		
16	29	2000	SEGOVIA	PRADENA	422250	4553150	41.1259	-3.9262	4	4	1.00	Mixed forests	8	3	313	Juniperus sp.	1150	North-West	15	GRANITE	Consistent	Silicic material		
17	540	1999	BURGOS	SANTA CRUZ DEL VALLE URBION	482600	4684680	42.3142	-3.2111	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1150	North	24	SANDSTONE	Inconsistent			
20	540	1999	SORIA	EL ROYO	523930	4643830	41.9461	-2.7113	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1570	East	10	SANDSTONE	Inconsistent			
21	540	1999	SORIA	MONTENEGRO DE CAMEROS	518340	4655940	42.0553	-2.7784	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1530	West	51	SANDSTONE	Inconsistent			
22	540	1999	SORIA	VINUESA	514770	4651490	42.0153	-2.8216	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1530	North-East	26	CONGLOMERATE ROCK	Inconsistent			
23	540	1999	SORIA	SANTA CRUZ DE YANGUAS	543110	4655500	42.0504	-2.4790	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1510	North-West	22	SANDSTONE	Inconsistent			
24	540	1999	SORIA	GALLINERO	545030	4648870	41.9906	-2.4564	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1380	South-West	10	SANDSTONE	Inconsistent			
25	540	1999	SORIA	AGREDA	596410	4630210	41.8179	-1.8392	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1139	North-East	34	QUARTZ STONE		Silicic material		
26	540	1999	SORIA	AGREDA	594970	4630690	41.8224	-1.8564	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1215	North	37	QUARTZ STONE		Silicic material		
27	29	1986	ALAVA	IRURAIZ	536789	4740640	42.8174	-2.5500	4	4	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	760	North-East	28	INCONSISTENT MATERIAL	Inconsistent			
28	29	1986	ALAVA	PIPAON	528714	4716541	42.6008	-2.6500	4	3	1.00	Broad-leaves forests	6	3	311	Fagus sylvatica	1050	North-West	30	MARL AND LIMESTONE		Calcareous material		
29	29	1974	ALAVA	VITORIA	532719	4736917	42.7841	-2.6000	3	3	1.33	Broad-leaves forests	6	3	311	Fagus sylvatica	800	North-West	33	QUARTZITE SAND	Inconsistent	Silicic material		
30	119	1974	GIPUZKOA	FUENTERRABIA	594996	4800752	43.3536	-1.8278	4	4	1.00	Coniferous forests	9	3	312	Pinus radiata	170	East	50	SANDSTONE				
31	119	1974	GIPUZKOA	LEZO	590981	4797981	43.3292	-1.8778	3	3	1.25	Coniferous forests	9	3	312	Pinus radiata	200	South	28	SANDSTONE				
32	119	1974	GIPUZKOA	IRUN	596501	4797842	43.3272	-1.8097	2	2	1.25	Coniferous forests	9	3	312	Pinus radiata	30	North	22	SANDSTONE				
33	119	1974	GIPUZKOA	OYARZUM	596920	4793744	43.2903	-1.8053	4	4	1.00	Coniferous forests	9	3	312	Pinus radiata	320	West	50	SEDIMENTARY ROCK				
34	119	1974	GIPUZKOA	OYARZUN	593638	4793174	43.2856	-1.8458	4	4	1.25	Coniferous forests	9	3	312	Pinus radiata	150	North-West	30	SANDSTONE				
35	119	1974	GIPUZKOA	BERASTEGUI	586020	4776750	43.1386	-1.9423	3	2	0.43	Coniferous forests	9	3	312	Pinus radiata	360	South-West	55	SEDIMENTARY ROCK				
36	119	1974	GIPUZKOA	ELDUAYEN	581000	4777220	43.1434	-2.0039	2	2	1.00	Coniferous forests	9	3	312	Pinus radiata	200	South-East	65	SEDIMENTARY ROCK				
